"efternamn","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Sundström",8942,8943,8971,8969,8942,8949,8939,8925,8930,8970,9009,9048,9102,9136,9151,9132,9121,9092,9038,8989,8952,8945,8937,8880,8869,8865,8873,8835,8844,8831,8815,8791,8809,8785,8752,8711,8679,8619,..,..
"Svensson",142179,141296,140292,138937,137901,136830,135888,134910,133726,132579,131609,130533,129420,128380,127260,126079,124665,123285,121711,120306,118853,117415,115905,114620,113299,111898,110430,109082,107653,106222,104689,103208,101834,100469,99023,97761,96369,94812,93225,91741
"Söderberg",12964,12943,12900,12904,12953,12984,13001,12971,12993,13015,13023,13020,13065,13068,13057,13066,13058,13053,13018,12967,12885,12840,12770,12784,12765,12791,12784,12792,12767,12769,12761,12741,12718,12710,12715,12693,12662,12602,12507,12435
"Söderström",9025,9023,9011,9007,8969,8925,8894,8919,8908,8883,8887,8861,8858,8846,8855,8818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Wallin",15301,15323,15306,15259,15268,15284,15294,15281,15324,15330,15314,15385,15404,15402,15409,15432,15409,15420,15369,15394,15379,15368,15336,15329,15403,15390,15460,15451,15477,15540,15582,15617,15718,15802,15873,15890,15939,15916,15865,15831
"Viklund",11289,11258,11283,11317,11357,11394,11404,11441,11419,11441,11435,11460,11486,11506,11522,11495,11470,11469,11420,11422,11416,11388,11421,11404,11405,11435,11454,11443,11392,11428,11413,11359,11377,11388,11389,11416,11427,11365,11329,11287
"Wikström",13975,14023,13996,13969,13984,13951,13971,14020,14037,14074,14171,14167,14187,14189,14171,14189,14184,14154,14114,14060,14022,14024,13989,14026,14020,14012,14040,14063,14052,14024,13975,13962,13971,13963,13940,13913,13888,13874,13798,13738
"Åberg",10360,10372,10348,10361,10366,10325,10342,10356,10400,10445,10449,10497,10501,10531,10543,10588,10583,10543,10486,10450,10441,10416,10412,10406,10444,10450,10474,10484,10473,10456,10494,10505,10513,10505,10508,10504,10459,10413,10339,10283
"Åkesson",8986,9032,9047,9027,9065,9112,9148,9160,9200,9210,9271,9267,9288,9320,9315,9342,9336,9304,9247,9261,9246,9253,9254,9239,9229,9265,9208,9203,9181,9187,9192,9179,9152,9083,9045,9010,8964,8869,8814,8745
"Åström",8832,8849,8849,8878,8856,8861,8886,8864,8900,8902,8930,8956,9021,9024,9026,8991,8998,8997,8976,8969,8966,8933,8919,8897,8889,8850,8846,8809,8785,8785,8791,8777,8778,8748,8754,8760,8696,..,..,..
